pair,total,wins,losses,win_rate,avg_pnl,total_pnl,max_drawdown,best_trade,worst_trade,profit_factor
BTCUSDT,424,253,171,59.7,0.82,349.45,-29.43,5.07,-3.78,2.09
ETHUSDT,237,97,140,40.9,1.23,292.67,-43.43,12.5,-4.53,1.72
SOLUSDT,64,28,36,43.8,1.1,70.21,-26.32,10.0,-5.0,1.55
DOTUSDT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINKUSDT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVAXUSDT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XRPUSDT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTCUSDT,15,5,10,33.3,0.0,0.07,-27.84,10.0,-5.0,1.0
BCHUSDT,34,18,16,52.9,0.92,31.32,-11.56,3.94,-5.0,2.0
ATOMUSDT,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
