pair,total_trades,win_trades,loss_trades,win_rate,avg_pnl,total_pnl,max_drawdown,best_trade,worst_trade,updated_at
ATOM/USDT,1184,506,678,42.7,0.18,210.63,-78.9,4.5,-3.0,2026-06-20T21:42:40.317135+00:00
AVAX/USDT,1234,541,693,43.8,0.3,366.29,-73.8,4.5,-3.0,2026-06-20T21:42:40.317710+00:00
BCH/USDT,887,342,545,38.6,-0.09,-81.05,-85.4,4.5,-3.0,2026-06-20T21:42:40.318218+00:00
BTC/USDT,775,345,430,44.5,0.19,147.7,-47.98,4.5,-3.0,2026-06-20T21:42:40.318729+00:00
DOT/USDT,1122,489,633,43.6,0.22,247.37,-83.99,4.5,-3.0,2026-06-20T21:42:40.319238+00:00
ETH/USDT,881,375,506,42.6,0.18,157.35,-60.76,4.5,-3.0,2026-06-20T21:42:40.319751+00:00
LINK/USDT,1196,483,713,40.4,0.02,18.34,-88.16,4.5,-3.0,2026-06-20T21:42:40.320237+00:00
LTC/USDT,877,331,546,37.7,-0.15,-130.76,-95.0,4.5,-3.0,2026-06-20T21:42:40.320736+00:00
SOL/USDT,1015,439,576,43.3,0.21,212.63,-70.61,4.5,-3.0,2026-06-20T21:42:40.321213+00:00
XRP/USDT,1111,488,623,43.9,0.25,280.15,-55.12,4.5,-3.0,2026-06-20T21:42:40.321705+00:00
