Timestamp,Open,High,Low,Close,Volume
1779080400,85.26,85.36,84.66,84.84,1367.26313069
1779084000,84.86,84.97,84.32,84.75,2588.87899097
1779087600,84.78,85.01,84.43,84.77,1075.04747597
1779091200,84.81,84.99,84.67,84.93,842.63514433
1779094800,84.93,84.94,84.47,84.50,257.13187990
1779098400,84.50,84.50,84.23,84.28,774.21522632
1779102000,84.32,85.29,84.14,84.96,1754.00406130
1779105600,84.95,85.75,84.95,85.55,1922.08408576
1779109200,85.55,85.56,84.36,84.70,1264.70580643
1779112800,84.68,84.68,83.75,83.96,2359.23076439
1779116400,83.97,84.41,83.69,84.24,2389.98488440
1779120000,84.22,84.50,84.00,84.32,1491.89140506
1779123600,84.31,84.68,84.23,84.37,828.85238672
1779127200,84.38,84.40,83.51,83.58,1987.61348974
1779130800,83.56,85.18,83.54,84.98,3708.11517102
1779134400,85.05,85.37,84.86,84.91,772.09806802
1779138000,84.92,85.62,84.80,85.55,2403.77130930
1779141600,85.57,85.73,85.27,85.43,372.61398489
1779145200,85.42,85.60,85.24,85.33,472.08884730
1779148800,85.34,85.93,85.31,85.55,573.63728690
1779152400,85.56,85.56,84.92,84.92,296.06213945
1779156000,84.92,85.26,84.61,84.84,573.08176903
1779159600,84.83,85.22,84.73,85.09,842.60876446
1779163200,85.09,85.31,84.82,85.17,303.43600353
1779166800,85.16,85.27,84.52,85.18,783.44311600
1779170400,85.15,85.56,85.13,85.25,281.21795273
1779174000,85.24,85.60,85.13,85.49,186.34809706
1779177600,85.50,85.58,85.05,85.24,764.62334088
1779181200,85.25,85.30,84.52,84.78,2325.10466911
1779184800,84.76,84.87,84.35,84.72,1041.55335679
1779188400,84.74,84.83,84.32,84.43,841.84982090
1779192000,84.42,84.80,84.30,84.75,559.28332397
1779195600,84.76,85.08,84.40,84.81,1214.41825265
1779199200,84.77,84.95,83.77,84.17,1493.83351926
1779202800,84.18,84.56,84.09,84.37,493.70571490
1779206400,84.36,84.86,84.15,84.82,652.04910034
1779210000,84.82,84.97,84.47,84.65,742.88602560
1779213600,84.66,84.80,84.27,84.38,885.59898505
1779217200,84.39,84.69,84.24,84.37,1178.22446323
1779220800,84.37,84.59,84.32,84.55,880.74453727
1779224400,84.56,84.67,84.43,84.47,182.19364662
1779228000,84.47,84.47,84.04,84.13,472.07859835
1779231600,84.12,84.59,84.06,84.31,91.21193970
1779235200,84.30,84.41,83.98,84.23,854.38632838
1779238800,84.23,84.48,83.90,84.37,501.71959362
1779242400,84.36,84.50,83.96,83.99,195.26094974
1779246000,83.98,84.26,83.90,84.08,190.20999213
1779249600,84.11,84.20,83.90,84.19,244.61187896
1779253200,84.20,84.93,84.20,84.72,869.07126198
1779256800,84.73,84.98,84.73,84.96,558.78856747
1779260400,84.96,85.12,84.72,84.79,598.99022980
1779264000,84.79,85.17,84.73,85.00,476.95896263
1779267600,85.00,85.06,84.85,84.89,1032.04436928
1779271200,84.89,85.22,84.89,85.01,897.66477382
1779274800,85.00,85.07,84.63,84.72,6623.94878605
1779278400,84.71,85.34,84.66,85.14,2425.10692703
1779282000,85.14,85.17,84.24,84.67,881.13455245
1779285600,84.67,86.11,84.40,85.89,3666.14617953
1779289200,85.89,86.22,85.41,85.89,2485.12065811
1779292800,85.94,86.80,85.54,86.47,3231.81545963
1779296400,86.41,87.04,86.32,86.52,2166.77488185
